Ano/mês do Óbito,Óbitos_p/Ocorrência,Pedestre traumatizado em um acidente de transporte,Ciclista traumatizado em um acidente de transporte,Motociclista traumat em um acidente de transporte,Ocupante triciclo motorizado traumat acid transp,Ocupante automóvel traumat acidente transporte,Ocupante caminhonete traumat acidente transporte,Ocupante veíc transp pesado traumat acid transp,Ocupante ônibus traumat acidente de transporte,Outros acidentes de transporte terrestre,Acidentes de transporte por água,Acidentes de transporte aéreo e espacial,Quedas,Exposição a forças mecânicas inanimadas,Exposição a forças mecânicas animadas,Afogamento e submersão acidentais,Outros riscos acidentais à respiração,"Expos corr elétr, radiação e temp press extrem amb","Exposição à fumaça, ao fogo e às chamas",Contato com fonte de calor ou substâncias quentes,Contato com animais e plantas venenosos,Exposição às forças da natureza,Envenenamento acidental e exposição subst nocivas,Exposição acidental a outr fatores e aos não espec,Lesões autoprovocadas intencionalmente,Agressões,Eventos (fatos) cuja intenção é indeterminada,Intervenções legais e operações de guerra,"Ef advers drog, medic e subst biológ finalid terap",Acid ocorr pacientes prest cuid médicos e cirúrg,Incid advers atos diagn terap assoc disposit médic,Reaç anorm compl tard proc cirúrg méd s/menç acid,Seqüelas causas externas de morbidade e mortalidad,Total Causa Externa
1996,11259,264,6,11,-,29,-,-,-,300,-,5,92,7,-,37,83,11,45,4,2,-,1,12,77,326,119,-,5,2,4,1,3,1446
Janeiro/1996,903,16,2,3,-,8,-,-,-,9,-,-,12,1,-,10,3,2,8,-,1,-,1,2,9,28,4,-,1,-,-,-,-,120
Fevereiro/1996,831,24,1,1,-,-,-,-,-,26,-,-,6,2,-,1,4,1,2,-,1,-,-,2,11,31,12,-,1,-,-,-,-,126
Março/1996,887,26,-,-,-,4,-,-,-,20,-,-,6,2,-,2,6,-,-,-,-,-,-,1,5,34,6,-,-,1,1,-,1,115
Abril/1996,851,15,-,-,-,2,-,-,-,26,-,-,10,-,-,3,8,-,3,1,-,-,-,2,5,29,11,-,-,-,1,-,-,116
Maio/1996,972,32,-,-,-,1,-,-,-,30,-,-,10,1,-,-,11,2,8,-,-,-,-,1,3,29,5,-,1,-,1,1,-,136
Junho/1996,1080,24,2,2,-,3,-,-,-,33,-,-,5,-,-,6,13,1,2,1,-,-,-,2,3,19,15,-,-,-,-,-,1,132
Julho/1996,1182,21,-,-,-,2,-,-,-,20,-,-,5,1,-,-,10,1,-,-,-,-,-,-,8,21,11,-,1,-,-,-,1,102
Agosto/1996,1053,24,-,-,-,-,-,-,-,22,-,-,4,-,-,-,6,1,6,-,-,-,-,2,7,24,10,-,-,1,-,-,-,107
Setembro/1996,979,17,-,-,-,3,-,-,-,24,-,5,8,-,-,-,7,-,5,1,-,-,-,-,3,26,10,-,-,-,-,-,-,109
Outubro/1996,851,19,-,-,-,2,-,-,-,27,-,-,6,-,-,4,5,3,2,-,-,-,-,-,5,36,8,-,1,-,1,-,-,119
Novembro/1996,797,17,1,1,-,1,-,-,-,31,-,-,12,-,-,6,4,-,4,-,-,-,-,-,10,30,12,-,-,-,-,-,-,129
Dezembro/1996,869,29,-,4,-,3,-,-,-,32,-,-,8,-,-,5,6,-,5,1,-,-,-,-,8,19,14,-,-,-,-,-,-,134
1997,11240,211,5,3,1,37,-,1,-,272,-,-,82,4,-,24,63,3,30,3,-,-,6,10,91,404,60,-,-,3,-,1,1,1315
Janeiro/1997,823,14,-,-,-,1,-,-,-,25,-,-,5,1,-,4,6,-,3,-,-,-,1,-,10,35,3,-,-,1,-,-,-,109
Fevereiro/1997,811,17,-,1,-,4,-,-,-,13,-,-,5,-,-,3,6,-,3,-,-,-,2,2,3,34,5,-,-,-,-,1,-,99
Março/1997,892,21,-,-,-,3,-,-,-,18,-,-,7,-,-,3,5,-,1,1,-,-,1,-,8,33,6,-,-,-,-,-,-,107
Abril/1997,934,27,1,-,-,3,-,-,-,17,-,-,8,-,-,1,6,-,4,-,-,-,-,1,9,37,3,-,-,-,-,-,-,117
Maio/1997,1003,20,1,-,-,7,-,-,-,34,-,-,5,-,-,4,5,2,2,-,-,-,-,1,8,31,5,-,-,-,-,-,-,125
Junho/1997,1170,22,-,-,-,1,-,-,-,35,-,-,5,-,-,-,7,-,3,-,-,-,1,-,5,24,8,-,-,-,-,-,-,111
Julho/1997,999,10,-,1,1,2,-,-,-,27,-,-,4,-,-,-,3,-,3,1,-,-,-,2,4,32,4,-,-,-,-,-,-,94
Agosto/1997,992,22,1,-,-,3,-,-,-,16,-,-,10,-,-,1,4,-,1,-,-,-,-,2,8,42,9,-,-,-,-,-,1,120
Setembro/1997,908,22,-,-,-,4,-,-,-,19,-,-,9,-,-,-,6,-,2,-,-,-,-,-,12,25,4,-,-,-,-,-,-,103
Outubro/1997,938,13,-,1,-,2,-,-,-,15,-,-,10,2,-,1,6,-,1,-,-,-,1,-,9,40,2,-,-,1,-,-,-,104
Novembro/1997,909,10,-,-,-,5,-,1,-,29,-,-,8,-,-,3,6,1,4,1,-,-,-,1,6,45,6,-,-,-,-,-,-,126
Dezembro/1997,861,13,2,-,-,2,-,-,-,24,-,-,6,1,-,4,3,-,3,-,-,-,-,1,9,26,5,-,-,1,-,-,-,100
1998,11453,192,4,4,-,19,-,1,-,217,-,-,93,5,1,30,63,5,29,1,1,-,5,5,104,352,71,-,2,-,2,1,4,1211
Janeiro/1998,838,9,-,-,-,1,-,-,-,19,-,-,7,-,-,7,2,-,3,-,-,-,-,1,11,34,7,-,1,-,-,-,1,103
Fevereiro/1998,815,9,-,-,-,2,-,-,-,11,-,-,10,-,-,3,4,1,3,-,-,-,1,1,9,24,3,-,-,-,-,-,1,82
Março/1998,935,21,-,-,-,-,-,-,-,17,-,-,4,1,1,3,3,1,2,-,-,-,-,1,8,25,4,-,-,-,1,-,-,92
Abril/1998,891,22,1,1,-,4,-,-,-,23,-,-,7,-,-,2,-,-,2,-,-,-,2,-,15,38,5,-,-,-,1,-,-,123
Maio/1998,1096,19,-,-,-,1,-,-,-,25,-,-,5,-,-,1,14,1,4,-,-,-,-,-,7,32,2,-,-,-,-,-,-,111
Junho/1998,1182,15,-,-,-,4,-,1,-,17,-,-,6,-,-,1,5,-,1,-,-,-,-,-,10,31,4,-,1,-,-,1,1,98
Julho/1998,1083,18,-,-,-,1,-,-,-,23,-,-,10,-,-,1,8,-,4,-,-,-,-,1,7,24,10,-,-,-,-,-,-,107
Agosto/1998,1044,16,3,-,-,1,-,-,-,16,-,-,13,1,-,4,4,1,1,1,-,-,-,-,11,32,3,-,-,-,-,-,-,107
Setembro/1998,904,15,-,-,-,-,-,-,-,19,-,-,5,1,-,1,8,-,-,-,-,-,-,-,7,23,4,-,-,-,-,-,-,83
Outubro/1998,915,14,-,1,-,2,-,-,-,7,-,-,7,1,-,4,6,-,3,-,-,-,-,1,6,27,7,-,-,-,-,-,-,86
Novembro/1998,847,14,-,-,-,2,-,-,-,17,-,-,8,1,-,1,4,-,3,-,1,-,-,-,6,25,8,-,-,-,-,-,1,91
Dezembro/1998,903,20,-,2,-,1,-,-,-,23,-,-,11,-,-,2,5,1,3,-,-,-,2,-,7,37,14,-,-,-,-,-,-,128
1999,11533,172,4,7,-,22,-,1,-,282,-,-,88,7,-,18,50,14,31,1,1,-,6,18,77,410,75,-,1,1,-,2,1,1289
Janeiro/1999,842,16,-,-,-,3,-,-,-,19,-,-,7,-,-,4,2,2,2,-,-,-,-,1,4,25,6,-,-,-,-,-,-,91
Fevereiro/1999,856,18,1,-,-,-,-,-,-,15,-,-,12,-,-,2,3,3,1,-,1,-,-,-,11,34,2,-,-,-,-,-,-,103
Março/1999,963,21,-,-,-,2,-,-,-,10,-,-,12,3,-,2,5,-,5,-,-,-,-,1,5,47,4,-,-,-,-,-,-,117
Abril/1999,927,17,-,-,-,4,-,-,-,28,-,-,5,-,-,2,2,1,1,-,-,-,1,1,7,32,4,-,1,1,-,-,-,107
Maio/1999,1031,19,-,-,-,1,-,-,-,13,-,-,6,1,-,2,6,1,3,-,-,-,2,2,9,33,5,-,-,-,-,-,-,103
Junho/1999,1109,17,-,2,-,1,-,-,-,20,-,-,8,-,-,-,4,2,8,-,-,-,3,2,4,27,1,-,-,-,-,-,-,99
Julho/1999,1030,15,-,1,-,1,-,-,-,28,-,-,7,-,-,1,6,1,2,-,-,-,-,2,8,34,2,-,-,-,-,-,1,109
Agosto/1999,1054,15,-,-,-,4,-,-,-,22,-,-,6,1,-,2,5,-,2,-,-,-,-,1,9,28,10,-,-,-,-,-,-,105
Setembro/1999,999,11,1,-,-,2,-,-,-,30,-,-,9,-,-,-,1,1,1,-,-,-,-,2,4,40,13,-,-,-,-,-,-,115
Outubro/1999,997,10,-,1,-,2,-,1,-,30,-,-,6,-,-,-,7,-,1,1,-,-,-,4,3,39,5,-,-,-,-,1,-,111
Novembro/1999,881,6,2,2,-,1,-,-,-,33,-,-,5,-,-,2,3,2,3,-,-,-,-,1,3,37,11,-,-,-,-,1,-,112
Dezembro/1999,844,7,-,1,-,1,-,-,-,34,-,-,5,2,-,1,6,1,2,-,-,-,-,1,10,34,12,-,-,-,-,-,-,117
2000,11772,98,8,21,-,61,-,2,-,273,-,-,52,9,1,10,71,6,18,2,-,-,11,65,63,416,170,1,-,2,-,2,4,1366
Janeiro/2000,877,6,1,2,-,1,-,-,-,20,-,-,7,-,-,1,3,-,2,-,-,-,-,2,10,44,9,-,-,-,-,-,1,109
Fevereiro/2000,880,5,1,2,-,2,-,-,-,22,-,-,2,1,-,1,7,-,2,-,-,-,-,9,4,35,22,-,-,-,-,-,1,116
Março/2000,879,7,1,2,-,3,-,-,-,22,-,-,2,1,1,-,9,1,2,1,-,-,-,2,4,41,15,-,-,-,-,-,-,114
Abril/2000,977,11,-,3,-,9,-,-,-,30,-,-,4,1,-,-,3,1,1,-,-,-,-,5,8,31,17,-,-,1,-,-,-,125
Maio/2000,1051,15,-,2,-,6,-,1,-,22,-,-,7,-,-,-,3,1,-,-,-,-,1,7,4,37,10,-,-,-,-,-,1,117
Junho/2000,1054,8,1,-,-,7,-,-,-,29,-,-,1,-,-,1,9,-,-,-,-,-,-,8,4,17,16,1,-,-,-,-,-,102
