,ANO,MES,TOTAL_PERIODO,AGRESSAO,INDETERMINADO,INTERV_LEGAL
1,1996,01Janeiro,903,28,4,0
2,1996,02Fevereiro,831,31,12,0
3,1996,03Março,887,34,6,0
4,1996,04Abril,851,29,11,0
5,1996,05Maio,972,29,5,0
6,1996,06Junho,1080,19,15,0
7,1996,07Julho,1182,21,11,0
8,1996,08Agosto,1053,24,10,0
9,1996,09Setembro,979,26,10,0
10,1996,10Outubro,851,36,8,0
11,1996,11Novembro,797,30,12,0
12,1996,12Dezembro,869,19,14,0
14,1997,01Janeiro,823,35,3,0
15,1997,02Fevereiro,811,34,5,0
16,1997,03Março,892,33,6,0
17,1997,04Abril,934,37,3,0
18,1997,05Maio,1003,31,5,0
19,1997,06Junho,1170,24,8,0
20,1997,07Julho,999,32,4,0
21,1997,08Agosto,992,42,9,0
22,1997,09Setembro,908,25,4,0
23,1997,10Outubro,938,40,2,0
24,1997,11Novembro,909,45,6,0
25,1997,12Dezembro,861,26,5,0
27,1998,01Janeiro,838,34,7,0
28,1998,02Fevereiro,815,24,3,0
29,1998,03Março,935,25,4,0
30,1998,04Abril,891,38,5,0
31,1998,05Maio,1096,32,2,0
32,1998,06Junho,1182,31,4,0
33,1998,07Julho,1083,24,10,0
34,1998,08Agosto,1044,32,3,0
35,1998,09Setembro,904,23,4,0
36,1998,10Outubro,915,27,7,0
37,1998,11Novembro,847,25,8,0
38,1998,12Dezembro,903,37,14,0
40,1999,01Janeiro,842,25,6,0
41,1999,02Fevereiro,856,34,2,0
42,1999,03Março,963,47,4,0
43,1999,04Abril,927,32,4,0
44,1999,05Maio,1031,33,5,0
45,1999,06Junho,1109,27,1,0
46,1999,07Julho,1030,34,2,0
47,1999,08Agosto,1054,28,10,0
48,1999,09Setembro,999,40,13,0
49,1999,10Outubro,997,39,5,0
50,1999,11Novembro,881,37,11,0
51,1999,12Dezembro,844,34,12,0
53,2000,01Janeiro,877,44,9,0
54,2000,02Fevereiro,880,35,22,0
55,2000,03Março,879,41,15,0
56,2000,04Abril,977,31,17,0
57,2000,05Maio,1051,37,10,0
58,2000,06Junho,1054,17,16,1
59,2000,07Julho,1212,34,15,0
60,2000,08Agosto,1079,27,6,0
61,2000,09Setembro,1012,36,17,0
62,2000,10Outubro,967,43,16,0
63,2000,11Novembro,892,34,13,0
64,2000,12Dezembro,892,37,14,0
66,2001,01Janeiro,914,32,13,0
67,2001,02Fevereiro,800,35,9,0
68,2001,03Março,936,34,13,0
69,2001,04Abril,887,40,11,0
70,2001,05Maio,1068,38,9,0
71,2001,06Junho,1034,35,9,0
72,2001,07Julho,1083,26,9,0
73,2001,08Agosto,1014,47,5,0
74,2001,09Setembro,1025,39,11,0
75,2001,10Outubro,988,31,12,0
76,2001,11Novembro,880,43,4,0
77,2001,12Dezembro,945,53,5,0
79,2002,01Janeiro,941,53,11,0
80,2002,02Fevereiro,816,36,9,0
81,2002,03Março,951,52,9,0
82,2002,04Abril,937,39,6,1
83,2002,05Maio,948,44,7,0
84,2002,06Junho,1055,44,12,0
85,2002,07Julho,1198,43,9,1
86,2002,08Agosto,1046,40,14,4
87,2002,09Setembro,1006,37,9,0
88,2002,10Outubro,1014,49,6,0
89,2002,11Novembro,996,48,9,0
90,2002,12Dezembro,989,45,5,0
92,2003,01Janeiro,964,62,7,0
93,2003,02Fevereiro,899,68,8,0
94,2003,03Março,973,48,3,0
95,2003,04Abril,1002,51,2,0
96,2003,05Maio,1057,44,5,0
97,2003,06Junho,1012,48,4,3
98,2003,07Julho,1090,48,12,1
99,2003,08Agosto,1185,46,12,0
100,2003,09Setembro,1081,55,11,0
101,2003,10Outubro,993,52,6,1
102,2003,11Novembro,990,33,13,0
103,2003,12Dezembro,979,57,8,0
105,2004,01Janeiro,955,43,1,0
106,2004,02Fevereiro,907,54,0,0
107,2004,03Março,1010,51,4,1
108,2004,04Abril,1072,49,3,0
109,2004,05Maio,1254,58,2,0
110,2004,06Junho,1203,54,5,0
111,2004,07Julho,1090,57,3,0
112,2004,08Agosto,1150,61,6,0
113,2004,09Setembro,1099,64,4,0
114,2004,10Outubro,1065,59,5,0
115,2004,11Novembro,1002,67,2,0
116,2004,12Dezembro,1020,76,8,0
118,2005,01Janeiro,988,77,2,0
119,2005,02Fevereiro,898,36,2,0
120,2005,03Março,1008,63,2,1
121,2005,04Abril,948,69,2,1
122,2005,05Maio,1084,55,2,1
123,2005,06Junho,1083,55,7,0
124,2005,07Julho,1161,62,5,1
125,2005,08Agosto,1122,74,5,0
126,2005,09Setembro,1006,51,5,1
127,2005,10Outubro,1105,91,2,0
128,2005,11Novembro,1042,68,1,0
129,2005,12Dezembro,995,77,5,0
131,2006,01Janeiro,1007,75,5,0
132,2006,02Fevereiro,917,65,1,0
133,2006,03Março,1060,77,7,1
134,2006,04Abril,1011,90,5,0
135,2006,05Maio,1144,65,5,0
136,2006,06Junho,1100,75,9,0
137,2006,07Julho,1166,67,9,0
138,2006,08Agosto,1116,63,5,0
139,2006,09Setembro,1078,64,7,0
140,2006,10Outubro,1028,92,3,0
141,2006,11Novembro,987,58,4,0
142,2006,12Dezembro,958,83,8,0
144,2007,01Janeiro,968,83,3,0
145,2007,02Fevereiro,874,71,6,0
146,2007,03Março,1057,64,5,0
147,2007,04Abril,979,79,8,0
148,2007,05Maio,1160,79,11,0
149,2007,06Junho,1199,65,6,0
150,2007,07Julho,1151,60,9,0
151,2007,08Agosto,1169,63,6,0
152,2007,09Setembro,1017,64,12,0
153,2007,10Outubro,1025,59,5,0
154,2007,11Novembro,980,68,4,0
155,2007,12Dezembro,1006,72,7,3
157,2008,01Janeiro,1057,95,5,0
158,2008,02Fevereiro,983,91,7,0
159,2008,03Março,1063,90,9,0
160,2008,04Abril,1060,76,5,0
