DATA,OCORRENCIAS
2009-01,2227
2009-02,1971
2009-03,2133
2009-04,2005
2009-05,1974
2009-06,1765
2009-07,1983
2009-08,2016
2009-09,2141
2009-10,2173
2009-11,2431
2009-12,2084
2010-01,1996
2010-02,1318
2010-03,1641
2010-04,2094
2010-05,1920
2010-06,1729
2010-07,1876
2010-08,1955
2010-09,1863
2010-10,2044
2010-11,2066
2010-12,2029
2011-01,2383
2011-02,2106
2011-03,1640
2011-04,1853
2011-05,2176
2011-06,2023
2011-07,1464
2011-08,1508
2011-09,1529
2011-10,1655
2011-11,1540
2011-12,1607
2012-01,1642
2012-02,1754
2012-03,1819
2012-04,1880
2012-05,1582
2012-06,1420
2012-07,1431
2012-08,1610
2012-09,1538
2012-10,1724
2012-11,1713
2012-12,1663
2013-01,1651
2013-02,1838
2013-03,2122
2013-04,2184
2013-05,2413
2013-06,2030
2013-07,1865
2013-08,2096
2013-09,1975
2013-10,2385
2013-11,1878
2013-12,2033
2014-01,2154
2014-02,2052
2014-03,2421
2014-04,2119
2014-05,2256
2014-06,1967
2014-07,1996
2014-08,2210
2014-09,2024
2014-10,2122
2014-11,1967
2014-12,2015
2015-01,2062
2015-02,1840
2015-03,2160
2015-04,2153
2015-05,2344
2015-06,2079
2015-07,2158
2015-08,2541
2015-09,2255
2015-10,2222
2015-11,1873
2015-12,1879
2016-01,1892
2016-02,1890
2016-03,2106
2016-04,2003
2016-05,1756
2016-06,1635
2016-07,1775
2016-08,1702
2016-09,1741
2016-10,1735
2016-11,1652
2016-12,1582
2017-01,2014
2017-02,1765
2017-03,1807
2017-04,1844
2017-05,1981
2017-06,1787
2017-07,1737
2017-08,1792
2017-09,1854
2017-10,1852
2017-11,1925
2017-12,1779
2018-01,1919
2018-02,1569
2018-03,2086
2018-04,1928
2018-05,1985
2018-06,1694
2018-07,2023
2018-08,2114
2018-09,2002
2018-10,2268
2018-11,2389
2018-12,2176
2019-01,2268
2019-02,2159
2019-03,2376
2019-04,2418
2019-05,2884
2019-06,2479
2019-07,3169
2019-08,3324
2019-09,3228
2019-10,2942
2019-11,2626
2019-12,3889
2020-01,3856
2020-02,3120
2020-03,4363
2020-04,4009
2020-05,5382
2020-06,6741
2020-07,7386
2020-08,4704
2020-09,4931
2020-10,4419
2020-11,3984
2020-12,4558
2021-01,4603
2021-02,4699
2021-03,7463
2021-04,5050
2021-05,5148
2021-06,4363
2021-07,4391
2021-08,5508
2021-09,5037
2021-10,4351
2021-11,4011
2021-12,4107
2022-01,4134
2022-02,4308
2022-03,4703
2022-04,4476
2022-05,3965
2022-06,3649
2022-07,4041
2022-08,4087
2022-09,3960
2022-10,4594
2022-11,3980
2022-12,1711
