Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;IN 4/2018;Inexigibilidade de Licitação;CREDENCIAMENTO DE SERVIÇO COMPLEMENTAR AO SISTEMA ÚNICO DE SAÚDE - SUS PARA REALIZAÇÃO DE PROCEDIMENTOS COM A FINALIDADE DE ATENDIMENTO AMBULATORIAL ESPECIALIZADO EM NEFROLOGIA E TERAPIA RENAL SUBSTITUTIVA A SEREM PRESTADOS AOS USUÁRIOS DO SUS.;R$ 31.451.283,48;RUA FRANCISCO TORRES, 830 - SMS;15/05/2018;01-131758/2017;05/12/2018;04/12/2023;Confirmado Vencedor
SEPLAD    ;PE 126/2018;PREGÃO ELETRÔNICO;Contratação de empresa especializada para contratação de limpeza e conservação predial consoante, consistindo de serviço, conservação e limpeza (m²), serviço de desinsetização e descupinização (m³) serviço de desratização (m³), limpeza de caixa d'água/cisterna (m³), serviço de vedação de calhas, e condutores de água (metro linear), pelo período de 365 dias, para atendimento dos órgãos SEPLAD, SIT e almoxarifado da SME.;R$ 441.920,16;Conforme edital e Termo de Referência;21/05/2018;01-034364/2015;08/10/2018;07/10/2023;Confirmado Vencedor
FMS       ;PE 98/2018;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE MONITORAMENTO, OPERACIONALIZAÇÃO E MANUTENÇÃO DO SERVIÇO PRÉ-HOSPITALAR MÓVEL DE URGÊNCIA E EMERGÊNCIA DE CURITIBA, 24 (VINTE E QUATRO) HORAS POR DIA, PELO PERÍODO DE 12 (DOZE) MESES;R$ 8.370.000,00;conforme descrito no Edital de Embasamento;09/08/2018;01-101185/2017;27/12/2018;26/12/2022;Confirmado Vencedor
FMS       ;PE 99/2018;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE COMPRESSOR DE AR E REDE CENTRALIZADA DE GÁS, COM FORNECIMENTO DE MÃO-DE-OBRA ESPECIALIZADA, PEÇAS E ACESSÓRIOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 250.000,00;conforme anexo V do Edital de Embasamento.;08/08/2018;01-047260/2018;04/09/2018;03/09/2023;Confirmado Vencedor
FMS       ;IN 19/2018;Inexigibilidade de Licitação;CHAMAMENTO PÚBLICO PARA O CREDENCIAMENTO DE SERVIÇOS HOSPITALARES NA ÁREA DE ASSISTÊNCIA EM SAÚDE MENTAL, EM REGIME DE INTERNAÇÃO INTEGRAL EM HOSPITAL PSIQUIÁTRICO ESPECIALIZADO E EM UNIDADE DE REFERÊNCIA ESPECIALIZADA EM HOSPITAL GERAL AO SISTEMA ÚNICO DE SAÚDE/CURITIBA.;R$ 33.644.956,08;RUA FRANCISCO TORRES, 830 - SMS;19/09/2018;01-080842/2018;20/12/2018;19/12/2022;Confirmado Vencedor
SME       ;PE 371/2018;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE URBANO DE PASSAGEIROS, NA FORMA DE FRETAMENTO PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 1.377.800,00;CONFORME EDITAL;11/10/2018;01-099476/2018;07/12/2018;05/12/2023;Confirmado Vencedor
FMS       ;IN 22/2018;Inexigibilidade de Licitação;CONTRATUALIZAÇÃO ENTRE A IRMANDADADE SANTA CASA DE MISERICÓRDIA E O MUNICÍPIO DE CURITIBA ATRAVÉS DA SECRETARIA MUNICIPAL DA SAÚDE. TEM POR OBJETIVO DE INTEGRAR O HOSPITAL NA REDE REGIONALIZADA E HIERARQUIZADÁ-LO COMO UM POLO DE ATENDIMENTO EM PRESTAÇÃO DE ASSISTÊNCIA INTEGRAL À SAÚDE DOS USUÁRIOS DO SUS/CURITIBA, PARTICULARMENTE NAS ÁREAS DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR.;R$ 78.628.952,86;RUA FRANCISCO TORRES, 830 - SMS;11/10/2018;01-095792/2018;15/10/2018;14/10/2022;Confirmado Vencedor
SME       ;PE 393/2018;PREGÃO ELETRÔNICO;Contratação de empresa para prestação de serviços de limpeza, asseio e conservação com fornecimento de equipamentos , mão de obra especializada  para os CMEIS - Centros Municipais de Educação Infantil da Secretaria Municipal da Educação.;R$ 27.946.596,00;Conforme edital e termo de referência;25/10/2018;01-088324/2016;23/01/2019;26/01/2024;Confirmado Vencedor
SME       ;PE 401/2018;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE PRESTAÇÃO DO SERVIÇO DE FORNECIMENTO DE REFEIÇÕES.COM FORNECIMENTO DE MATERIA-PRIMA( GENERO ALIMENTICIOS), EXECUÇÃO DO PREPARO,COCÇÃO, DISTRIBUIÇÃO,HIGIENIZAÇÃO, TRANSPORTE, DISPONDO DE INSTALAÇÕES, EQUIPAMENTOS , MATERIA-PRIMA, TRANSPORTE E UTENSILIOS ADEQUADOS, HIGIENIZAÇÃO DE EQUIPAMENTOS E MÃO DE OBRA ESPECIALIZADA. ;R$ 59.156.892,10;Coforme edtial;21/12/2018;01-130061/2016;07/02/2019;06/02/2023;Confirmado Vencedor
SME       ;PE 521/2018;PREGÃO ELETRÔNICO;Contratação de Empresa para prestação de serviços de segurança através de sistemas de alarme monitorado, com instalação em inidades novas, manutenção, monitoramento e reposição para atender Secretaria Municipal da Educação e Secretaria Municipal do Abastecimento.;R$ 5.656.300,00;CONFORME EDITAL;21/12/2018;01-117733/2017;18/02/2019;20/02/2024;Confirmado Vencedor
