codigo_ibge,ano,populacao_estimada,area,densidade_demografica
4106902,2001,1620219,432,3751
4106902,2002,1644600,433,3798
4106902,2003,1671194,434,3851
4106902,2004,1727010,435,3970
4106902,2005,1757904,436,4032
4106902,2006,1788559,437,4093
4106902,2007,1788559,438,4083
4106902,2008,1828095,439,4164
4106902,2009,1851215,440,4207
4106902,2010,1851215,441,4198
4106902,2011,1764541,442,3992
4106902,2012,1776761,443,4011
4106902,2013,1848946,444,4164
4106902,2014,1864416,445,4190
4106902,2015,1879355,446,4214
4106902,2016,1893997,447,4237
4106902,2017,1908359,448,4260
4106902,2018,1917185,449,4270
4106902,2019,1933105,450,4296
4106902,2020,1948626,451,4321
4106902,2021,1963726,452,4345
4106902,2022,1963726,453,4335
